name,is_fake,n_frame,set_name
aaagqkcdis,1,300,val
aaaoqepxnf,1,300,val
aaapwqhxli,0,300,train
aaavbjopeq,1,300,train
aaavflklag,1,300,train
aabdnomlru,1,300,test
aabdogagch,1,300,train
aabgnwnqba,1,300,train
aabjfjbpir,1,301,train
aabkwhhgwv,1,300,train
aabmgfhcgg,1,300,train
aabqcugcpc,0,300,val
aabqyygbaa,0,300,val
aabunyewgi,1,300,train
aabuyfvwrh,1,241,train
aabyjxwqyo,1,300,train
aaccnjbbxw,1,300,train
aacehwwzol,1,300,train
aacfuwiwjw,0,300,val
aachjwmgcr,1,294,train
aacmrrcpmr,1,300,train
aacporghzp,1,299,train
aacweweyzz,1,300,train
aacwokkodz,1,300,train
aadlvezwah,1,300,train
aadqbokerz,1,300,train
aadtvsyvzg,1,300,train
aadubxfxhr,1,300,train
aadvqhdtxl,1,300,train
aaedrqeumd,1,300,train
aaeflzzhvy,1,300,train
aaeoalihgj,1,300,train
aaerwkkcfy,1,300,train
aaeucwtkdx,1,300,val
aaewstdhzp,1,300,val
aafcgzwvmy,1,300,train
aaferzprat,0,301,train
aafezqchru,1,300,val
aafiblayhl,1,299,train
aafkeenkqm,1,300,train
aafnerhbrs,1,300,train
aafuphyhpt,1,300,train
aagfhgtpmv,1,300,train
aaghqpewzx,1,300,train
aagkcljeci,1,300,train
aaglhulpyq,1,300,train
aagnpclvlz,1,302,train
aagondskwl,1,300,train
aagpxhuqpp,1,300,train
aagsmskgyw,1,300,train
aagumdmtjk,0,300,train
aagundkpoh,1,300,train
aagvhbxgmc,1,300,train
aahdwkciqw,1,300,train
aahgdqgozs,1,300,train
aahkgsltxw,1,300,train
aahncigwte,0,125,val
aahntrlswm,1,300,train
aahslbfkop,1,300,val
aahsnkchkz,1,300,train
aahzjreawd,1,300,train
aaiqegjkrj,1,300,train
aaiqsitvnd,1,300,train
aaivbtdyjn,0,300,val
aaixesxaoj,1,300,train
aajhbrxhzm,1,300,val
aajnpdqnlz,1,300,train
aajrvbynqc,0,300,train
aajrzgorsm,1,300,train
aajsqyyjni,0,300,train
aajtsolpjq,1,301,val
aajxdztmpb,0,300,train
aakbpusmxs,1,300,val
aakdoghgcp,1,300,train
aakjdfqwnu,1,300,train
aakjukgjme,1,300,train
aakkdgsmvl,1,300,val
aakkhbgnjp,1,300,train
aaknzywids,1,300,train
aakrdapxha,1,300,train
aakxolbwgg,1,300,train
aakzzdrumy,1,300,train
aalhdlexwx,1,300,train
aalkxecnzm,1,300,train
aalolkuhxb,1,299,val
aalovlbqts,1,300,train
aalqaiyuxt,1,300,train
aamjfukxwp,0,300,train
aamjpjqkhc,1,300,val
aamrbolklk,1,298,train
aamvplpjbw,1,300,val
aanfrlpkui,1,300,train
aanhoksyeq,1,300,train
aannvfgmek,1,301,train
aansscoqsl,1,300,train
aanvfngndg,0,300,train
aanzliuzft,1,300,val
aanzlvzywt,1,300,train
aaoecyszps,1,300,train
aaonlmxhne,1,300,train
aaooydetsr,1,300,train
aaoyvnkeyo,1,300,train
aapauvxnsf,1,300,train
aapievvnuu,0,300,train
aapjptyetv,1,300,train
aapnvogymq,1,300,train
aapqbyzjws,1,301,train
aaprcuxsdb,1,241,train
aaqadjweuz,1,301,val
aaqaifqrwn,1,300,test
aaqdkpivxv,1,298,train
aaqnqubunq,1,300,train
aaragvjucp,0,300,train
aarrrzwibf,1,300,train
aarsgjbafv,1,300,train
aarsmohwrt,1,300,val
aarvjowgvd,1,300,train
aarxilbppj,0,300,train
aasjtiyjip,1,300,train
aasobppfwe,1,300,val
aaspwgdcxx,1,300,train
aasrzgbdpp,0,300,train
aassnaulhq,1,299,test
aaszqdbdtk,1,300,train
aatfilvfmc,1,300,val
aatfxhkzqx,1,300,val
aatgqvvrta,1,300,train
aatlprhwxl,0,300,train
aatntbvzum,0,298,train
aatstfrpio,1,300,train
aattrykxcr,1,300,train
aatzuimcwr,1,300,train
aauevvfyan,1,300,train
aauffntidi,1,300,train
aaugopnsow,1,299,train
aauhqwwncp,1,300,train
aaujbbfhqu,1,300,test
aaunepkrsm,1,298,train
aaunkxgnup,1,300,train
aaupbhxkoy,1,300,val
aauzlyqkbj,1,300,train
aavmhcnxxx,1,298,train
aavnkpdeaw,1,300,train
aavoyypnkf,1,298,train
aavqiqgbzl,1,300,val
aavuzodiub,1,300,train
aavvshwqnn,1,300,train
aavwzojdei,1,300,val
aavyetamvt,1,300,test
aawddjkkoz,0,300,val
aawdgpkfhg,1,300,train
aawguqttmk,1,300,train
aawhvztjdt,1,300,val
aawkmrlilr,1,300,train
aawukagukx,1,300,train
aawvkuxypy,0,239,train
aawwkinixp,1,300,val
aaxgcsyjyj,1,300,val
aaxrduwhbi,1,301,train
aaxzsfqvxv,1,301,val
aayfryxljh,0,300,test
aayggxmbke,1,300,val
aayplaymtt,1,300,train
aayrffkzxn,0,300,val
aaytftgoxe,1,300,val
aayuqaacef,1,300,train
aayyqrkmow,1,300,val
aayzrphjgr,1,301,train
aazbmyxkzg,1,300,train
aazeuxonse,1,300,train
aazgvznwmw,1,299,train
aazjhvpvzn,1,300,train
aazkzzkbns,1,300,train
aazqkwibxi,0,300,train
aazsugjvjk,1,300,train
abacmovtxb,1,300,train
abahildqna,1,300,train
abaodketae,1,300,train
abarnvbtwb,0,300,train
abbaqpqgjb,1,300,train
abbazlhmhz,1,301,val
abbgqbrdiz,0,300,train
abbgvafufg,1,300,train
abbhzhtjru,1,300,train
abbniyapop,1,300,train
abcclxtnil,1,300,train
abcgccgxgq,0,301,train
abcggjpuqg,1,300,train
abclkoobgo,1,300,val
abcrqrbwih,1,300,train
abcwetphux,1,300,train
abddemeing,1,300,val
abdgairkrk,1,300,train
abdhebzuzt,1,300,val
abdkzxmzaq,1,300,train
abdqmdklio,1,300,train
abdxzlhagb,1,299,train
abebnhqyzv,1,299,val
abeibpdqhj,1,300,train
abeknwzbhx,1,300,train
abemqhiuki,1,300,train
abepvlivgr,0,300,train
abeusommao,1,300,train
abevkjwulb,1,300,train
abfcpgmncf,1,300,val
abfgzgtmdc,1,300,train
abfhqnwiaz,1,300,train
abfnyenqdw,0,300,train
abftzhzfrf,1,300,val
abfvpzjkwr,1,299,val
abfwqxqcim,1,300,train
abfwsuaplk,1,300,val
abfzzvfkrx,1,300,train
abganitbvj,1,300,train
abgjveinnv,1,300,train
abgmiyhtth,1,300,train
abgnegvcdm,0,300,val
abgrdkbhch,1,300,train
abgsujyria,1,300,train
abgunexqlc,1,241,train
abgzebtpyw,1,300,train
abhdaoikio,1,300,train
abhggqdift,1,300,val
abhgyltuqg,1,300,train
abhlupreiy,1,300,train
abhqmggsqu,1,241,train
abhssqzhxu,0,300,val
abhzleejiv,1,300,train
abiihwztdo,0,300,train
abimtvgydq,1,298,train
abingyvkus,1,298,val
abinsthlog,1,300,train
abiodyryai,1,297,val
abiotberut,1,300,train
abiyemtwhw,1,300,train
abjeigrfib,1,301,train
abjguhkhki,1,298,train
abjgxazkfk,1,300,test
abjhsmfczh,1,300,train
abjkxgezpu,1,300,train
abjpggtrck,1,301,train
abjqjcvhwe,0,300,train
abjrrrufhj,1,300,val
abjsiiiydj,1,301,val
abjsubjall,1,300,train
abjvfvhtnp,1,241,train
abjvvojmai,1,300,train
abjykkteik,1,300,train
abjzzqcwhq,1,300,train
abkclntljz,0,300,val
abkepzubca,1,300,train
abkjuustxy,1,300,train
abkkrgodfb,1,300,train
abklmthkbg,0,300,train
abknwyuqen,1,300,train
abktvzahwq,1,300,val
abkwmaixbf,1,300,train
abkxlatant,1,300,train
abkyekgdzs,1,300,train
abkytgczmm,1,300,train
ablakozzyi,1,300,train
abldbnaqrk,0,300,val
ablltmlqya,1,300,val
ablxzjygfz,1,298,train
ablzgowmwo,0,300,train
ablzpwqhcc,1,300,val
abmcjolywn,0,300,train
abmdetdeok,1,300,train
abmfaeqrzx,1,301,train
abmjszfycr,0,300,train
abmnkljiny,1,300,train
abmpdeflqj,1,300,val
abmtcpjxdi,1,301,val
abndpnacql,0,300,train
abnkezfgga,1,300,val
abnlecswxf,1,300,train
abnnlixoap,0,300,val
abnrftezxy,1,300,train
abnrklaglv,1,301,train
abnrkomjlr,1,300,train
abnxwtqpya,1,300,train
